===info ||| Progress {0} ||| [0.22]
===info ||| Progress {0} ||| [0.45]
===info ||| Progress {0} ||| [0.67]
===info ||| Progress {0} ||| [0.89]
===info ||| Progress {0} ||| [1.12]
===info ||| Progress {0} ||| [1.34]
===info ||| Progress {0} ||| [1.56]
===info ||| Progress {0} ||| [1.79]
===info ||| Progress {0} ||| [2.01]
===info ||| Progress {0} ||| [2.23]
===info ||| Progress {0} ||| [2.46]
===info ||| Progress {0} ||| [2.68]
===info ||| Progress {0} ||| [2.90]
===info ||| Progress {0} ||| [3.13]
===info ||| Progress {0} ||| [3.12]
===info ||| Progress {0} ||| [6.25]
===info ||| Progress {0} ||| [9.38]
===info ||| Progress {0} ||| [12.50]
===info ||| Progress {0} ||| [15.62]
===info ||| Progress {0} ||| [18.75]
===info ||| Progress {0} ||| [21.88]
===info ||| Progress {0} ||| [25.00]
===info ||| Progress {0} ||| [28.12]
===info ||| Progress {0} ||| [31.25]
===info ||| Progress {0} ||| [31.25]
===info ||| Progress {0} ||| [34.38]
===info ||| Progress {0} ||| [37.50]
===info ||| Progress {0} ||| [40.62]
===warn ||| Multiple libraries were found for "{0}" ||| [Servo.h]
===warn |||  Used: {0} ||| [C%3A%5CUsers%5Ctcou8%5CDocuments%5CArduino%5Clibraries%5CServo]
===warn |||  Not used: {0} ||| [D%3A%5Cdeveloppements%5Cardibot%5CArduino%5Clibraries%5CServo]
===info ||| Progress {0} ||| [25.00]
===info ||| Progress {0} ||| [50.00]
===info ||| Progress {0} ||| [75.00]
===info ||| Progress {0} ||| [100.00]
